id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
geom_2_1,commons-geometry,DocumentationExamplesTest,testIO3DExample_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/DocumentationExamplesTest.java,,,,assert,unknown,standard,assertEquals
geom_8_1,commons-geometry,IO3DTest,testStreamExample_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/IO3DTest.java,,,,assert,unknown,standard,assertEquals
geom_11_1,commons-geometry,AbstractBoundaryReadHandler3DTest,testBoundaries_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertEquals
geom_11_2,commons-geometry,AbstractBoundaryReadHandler3DTest,testBoundaries_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertSame
geom_11_3,commons-geometry,AbstractBoundaryReadHandler3DTest,testBoundaries_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertEquals
geom_11_4,commons-geometry,AbstractBoundaryReadHandler3DTest,testBoundaries_4_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertEquals
geom_12_1,commons-geometry,AbstractBoundaryReadHandler3DTest,testFacets_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertEquals
geom_12_2,commons-geometry,AbstractBoundaryReadHandler3DTest,testFacets_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertSame
geom_12_3,commons-geometry,AbstractBoundaryReadHandler3DTest,testFacets_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertEquals
geom_12_4,commons-geometry,AbstractBoundaryReadHandler3DTest,testFacets_4_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertEquals
geom_45_1,commons-geometry,StlBoundaryReadHandler3DTest,testRead_usesInputCharset_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/StlBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertNotNull
geom_45_2,commons-geometry,StlBoundaryReadHandler3DTest,testRead_usesInputCharset_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/StlBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertNull
geom_46_1,commons-geometry,StlBoundaryReadHandler3DTest,testRead_setDefaultCharset_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/StlBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertNotNull
geom_46_2,commons-geometry,StlBoundaryReadHandler3DTest,testRead_setDefaultCharset_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/StlBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertNull
geom_47_1,commons-geometry,StlBoundaryReadHandler3DTest,testRead_incorrectCharset_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/StlBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertNotNull
geom_47_2,commons-geometry,StlBoundaryReadHandler3DTest,testRead_incorrectCharset_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/StlBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertNotNull
geom_47_3,commons-geometry,StlBoundaryReadHandler3DTest,testRead_incorrectCharset_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/StlBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertThrows
geom_50_1,commons-geometry,TextStlWriterTest,testDefaultProperties_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertNotNull
geom_50_2,commons-geometry,TextStlWriterTest,testDefaultProperties_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_51_1,commons-geometry,TextStlWriterTest,testNoContent_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_51_2,commons-geometry,TextStlWriterTest,testNoContent_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_51_3,commons-geometry,TextStlWriterTest,testNoContent_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_54_1,commons-geometry,TextStlWriterTest,testEmpty_noName_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_54_2,commons-geometry,TextStlWriterTest,testEmpty_noName_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_54_3,commons-geometry,TextStlWriterTest,testEmpty_noName_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_55_1,commons-geometry,TextStlWriterTest,testEmpty_withName_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_55_2,commons-geometry,TextStlWriterTest,testEmpty_withName_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_55_3,commons-geometry,TextStlWriterTest,testEmpty_withName_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_56_1,commons-geometry,TextStlWriterTest,testClose_endsSolid_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_56_2,commons-geometry,TextStlWriterTest,testClose_endsSolid_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_56_3,commons-geometry,TextStlWriterTest,testClose_endsSolid_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_58_1,commons-geometry,TextStlWriterTest,testWriteTriangle_noNormal_computesNormal_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_59_1,commons-geometry,TextStlWriterTest,testWriteTriangle_zeroNormal_computesNormal_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
geom_60_1,commons-geometry,TextStlWriterTest,testWriteTriangle_noNormal_cannotComputeNormal_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/TextStlWriterTest.java,,,,assert,unknown,standard,assertEquals
