id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
jexl_1_1,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_1_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_2,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_2_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_3,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_3_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_4,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_4_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_5,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_5_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_6,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_6_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_7,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_7_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_8,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_8_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_9,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_9_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_10,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_10_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_11,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_11_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_1_12,commons-jexl3,PropertyAccessTest,testInnerViaArithmetic_12_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_1,commons-jexl3,PropertyAccessTest,testInnerProperty_1_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_2,commons-jexl3,PropertyAccessTest,testInnerProperty_2_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_3,commons-jexl3,PropertyAccessTest,testInnerProperty_3_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_4,commons-jexl3,PropertyAccessTest,testInnerProperty_4_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_5,commons-jexl3,PropertyAccessTest,testInnerProperty_5_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_6,commons-jexl3,PropertyAccessTest,testInnerProperty_6_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_7,commons-jexl3,PropertyAccessTest,testInnerProperty_7_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_8,commons-jexl3,PropertyAccessTest,testInnerProperty_8_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_9,commons-jexl3,PropertyAccessTest,testInnerProperty_9_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_10,commons-jexl3,PropertyAccessTest,testInnerProperty_10_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_11,commons-jexl3,PropertyAccessTest,testInnerProperty_11_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_12,commons-jexl3,PropertyAccessTest,testInnerProperty_12_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_2_13,commons-jexl3,PropertyAccessTest,testInnerProperty_13_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_3_1,commons-jexl3,PropertyAccessTest,testStringIdentifier_1_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_3_2,commons-jexl3,PropertyAccessTest,testStringIdentifier_2_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_3_3,commons-jexl3,PropertyAccessTest,testStringIdentifier_3_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_3_4,commons-jexl3,PropertyAccessTest,testStringIdentifier_4_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
jexl_3_5,commons-jexl3,PropertyAccessTest,testStringIdentifier_5_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown
