id,test_prefix,test_name
async_12_1,"  @Test
  public void testToObservableNoError_1_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.toObservable(() -> client.prepareGet(""https://gatling.io""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      assertNotNull(responses);
  }
  }
",AsyncHttpObservableTest::testToObservableNoError_1_oe
async_12_2,"  @Test
  public void testToObservableNoError_2_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.toObservable(() -> client.prepareGet(""https://gatling.io""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      // removed other assertion
      assertEquals(responses.size(), 1);
  }
  }
",AsyncHttpObservableTest::testToObservableNoError_2_oe
async_12_3,"  @Test
  public void testToObservableNoError_3_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.toObservable(() -> client.prepareGet(""https://gatling.io""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      // removed other assertion
      // removed other assertion
      assertEquals(responses.get(0).getStatusCode(), 200);
  }
  }
",AsyncHttpObservableTest::testToObservableNoError_3_oe
async_13_1,"  @Test
  public void testToObservableError_1_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.toObservable(() -> client.prepareGet(""https://gatling.io/ttfn""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      assertNotNull(responses);
  }
  }
",AsyncHttpObservableTest::testToObservableError_1_oe
async_13_2,"  @Test
  public void testToObservableError_2_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.toObservable(() -> client.prepareGet(""https://gatling.io/ttfn""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      // removed other assertion
      assertEquals(responses.size(), 1);
  }
  }
",AsyncHttpObservableTest::testToObservableError_2_oe
async_13_3,"  @Test
  public void testToObservableError_3_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.toObservable(() -> client.prepareGet(""https://gatling.io/ttfn""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      // removed other assertion
      // removed other assertion
      assertEquals(responses.get(0).getStatusCode(), 404);
  }
  }
",AsyncHttpObservableTest::testToObservableError_3_oe
async_14_1,"  @Test
  public void testObserveNoError_1_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.observe(() -> client.prepareGet(""https://gatling.io""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      assertNotNull(responses);
  }
  }
",AsyncHttpObservableTest::testObserveNoError_1_oe
async_14_2,"  @Test
  public void testObserveNoError_2_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.observe(() -> client.prepareGet(""https://gatling.io""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      // removed other assertion
      assertEquals(responses.size(), 1);
  }
  }
",AsyncHttpObservableTest::testObserveNoError_2_oe
async_14_3,"  @Test
  public void testObserveNoError_3_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.observe(() -> client.prepareGet(""https://gatling.io""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      // removed other assertion
      // removed other assertion
      assertEquals(responses.get(0).getStatusCode(), 200);
  }
  }
",AsyncHttpObservableTest::testObserveNoError_3_oe
async_15_1,"  @Test
  public void testObserveError_1_oe() {
    final TestSubscriber<Response> tester = new TestSubscriber<>();

    try (AsyncHttpClient client = asyncHttpClient()) {
      Observable<Response> o1 = AsyncHttpObservable.observe(() -> client.prepareGet(""https://gatling.io/ttfn""));
      o1.subscribe(tester);
      tester.awaitTerminalEvent();
      tester.assertTerminalEvent();
      tester.assertNoErrors();
      tester.assertCompleted();
      List<Response> responses = tester.getOnNextEvents();
      assertNotNull(responses);
  }
  }
",AsyncHttpObservableTest::testObserveError_1_oe
