id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
async_21_3,async-http-client,AsyncHttpSingleTest,testErrorInOnThrowablePropagation_3_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,standard,assertEquals
async_21_4,async-http-client,AsyncHttpSingleTest,testErrorInOnThrowablePropagation_4_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,standard,assertThat
async_21_5,async-http-client,AsyncHttpSingleTest,testErrorInOnThrowablePropagation_5_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,standard,assertEquals
async_23_1,async-http-client,AsyncHttpSingleTest,testUnsubscribe_1_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,standard,assertThat
async_27_1,async-http-client,DefaultRxHttpClientTest,usesVanillaAsyncHandler_1_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/DefaultRxHttpClientTest.java,,,,assert,unknown,standard,assertThat
async_28_1,async-http-client,DefaultRxHttpClientTest,usesProgressAsyncHandler_1_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/DefaultRxHttpClientTest.java,,,,assert,unknown,standard,assertThat
async_29_1,async-http-client,DefaultRxHttpClientTest,cancelsResponseFutureOnDispose_1_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/DefaultRxHttpClientTest.java,,,,assert,unknown,standard,assertThat
async_30_1,async-http-client,AbstractMaybeProgressAsyncHandlerBridgeTest,httpEventCallbacksCheckDisposal_1_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/maybe/AbstractMaybeProgressAsyncHandlerBridgeTest.java,,,,assert,unknown,standard,assertThat
async_30_2,async-http-client,AbstractMaybeProgressAsyncHandlerBridgeTest,httpEventCallbacksCheckDisposal_2_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/maybe/AbstractMaybeProgressAsyncHandlerBridgeTest.java,,,,assert,unknown,standard,assertThat
async_31_1,async-http-client,AbstractMaybeAsyncHandlerBridgeTest,handlesExceptionsWhileFailing_1_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/maybe/AbstractMaybeAsyncHandlerBridgeTest.java,,,,assert,unknown,standard,assertThat
async_31_2,async-http-client,AbstractMaybeAsyncHandlerBridgeTest,handlesExceptionsWhileFailing_2_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/maybe/AbstractMaybeAsyncHandlerBridgeTest.java,,,,assert,unknown,standard,assertThat
async_32_1,async-http-client,AbstractMaybeAsyncHandlerBridgeTest,cachesDisposedException_1_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/maybe/AbstractMaybeAsyncHandlerBridgeTest.java,,,,assert,unknown,standard,assertThat
async_32_2,async-http-client,AbstractMaybeAsyncHandlerBridgeTest,cachesDisposedException_2_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/maybe/AbstractMaybeAsyncHandlerBridgeTest.java,,,,assert,unknown,standard,assertThat
async_32_3,async-http-client,AbstractMaybeAsyncHandlerBridgeTest,cachesDisposedException_3_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/maybe/AbstractMaybeAsyncHandlerBridgeTest.java,,,,assert,unknown,standard,assertThat
async_32_4,async-http-client,AbstractMaybeAsyncHandlerBridgeTest,cachesDisposedException_4_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/maybe/AbstractMaybeAsyncHandlerBridgeTest.java,,,,assert,unknown,standard,assertThat
async_33_1,async-http-client,AbstractMaybeAsyncHandlerBridgeTest,httpEventCallbacksCheckDisposal_1_oe,extras/rxjava2/src/test/java/org/asynchttpclient/extras/rxjava2/maybe/AbstractMaybeAsyncHandlerBridgeTest.java,,,,assert,unknown,standard,assertThat
