id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
http_2_1,http-request,HttpRequestTest,malformedStringUrlCause_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_67_1,http-request,HttpRequestTest,postMultipart_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_69_1,http-request,HttpRequestTest,receiveAppendable_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_70_1,http-request,HttpRequestTest,receiveWriter_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_71_1,http-request,HttpRequestTest,receivePrintStream_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_72_1,http-request,HttpRequestTest,receiveFile_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_78_1,http-request,HttpRequestTest,sendErrorReadStream_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_78_2,http-request,HttpRequestTest,sendErrorReadStream_2_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_79_1,http-request,HttpRequestTest,sendErrorCloseStream_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_79_2,http-request,HttpRequestTest,sendErrorCloseStream_2_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_81_1,http-request,HttpRequestTest,getToOutputBody_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_82_1,http-request,HttpRequestTest,getToOutputBodyWithCharset_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_155_1,http-request,HttpRequestTest,uploadProgressSend_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_155_2,http-request,HttpRequestTest,uploadProgressSend_2_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_156_1,http-request,HttpRequestTest,uploadProgressSendInputStream_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_156_2,http-request,HttpRequestTest,uploadProgressSendInputStream_2_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_157_1,http-request,HttpRequestTest,uploadProgressSendByteArray_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_157_2,http-request,HttpRequestTest,uploadProgressSendByteArray_2_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_158_1,http-request,HttpRequestTest,uploadProgressSendReader_1_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_158_2,http-request,HttpRequestTest,uploadProgressSendReader_2_oe,lib/src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_161_1,http-request,HttpRequestTest,malformedStringUrlCause_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_226_1,http-request,HttpRequestTest,postMultipart_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_228_1,http-request,HttpRequestTest,receiveAppendable_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_229_1,http-request,HttpRequestTest,receiveWriter_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_230_1,http-request,HttpRequestTest,receivePrintStream_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_231_1,http-request,HttpRequestTest,receiveFile_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_236_1,http-request,HttpRequestTest,sendErrorReadStream_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_236_2,http-request,HttpRequestTest,sendErrorReadStream_2_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_237_1,http-request,HttpRequestTest,sendErrorCloseStream_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_237_2,http-request,HttpRequestTest,sendErrorCloseStream_2_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_239_1,http-request,HttpRequestTest,getToOutputBody_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_240_1,http-request,HttpRequestTest,getToOutputBodyWithCharset_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,fail
http_309_1,http-request,HttpRequestTest,uploadProgressSend_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_309_2,http-request,HttpRequestTest,uploadProgressSend_2_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
http_310_1,http-request,HttpRequestTest,uploadProgressSendInputStream_1_oe,src/test/java/com/github/kevinsawicki/http/HttpRequestTest.java,,,,assert,unknown,standard,assertEquals
